id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
90,21.05.2021,Expenses,Cash,Столовая,5,RUB,5,RUB,
91,22.05.2021,Income,Salary,Cash,30,RUB,30,RUB,
92,23.05.2021,Income,Salary,Cash,5,RUB,5,RUB,
93,23.05.2021,Income,Salary,Cash,30,RUB,30,RUB,
94,24.05.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
95,25.05.2021,Expenses,Cash,Столовая,5,RUB,5,RUB,
96,26.05.2021,Income,Salary,Cash,200,RUB,200,RUB,
97,27.05.2021,Expenses,Cash,not stonks,5,RUB,5,RUB,Бабушка
98,09.06.2021,Income,Salary,Cash,100,RUB,100,RUB,
99,14.06.2021,Expenses,Cash,Игры,100,RUB,100,RUB,
100,18.06.2021,Income,Salary,Cash,150,RUB,150,RUB,
101,19.06.2021,Income,Salary,Cash,100,RUB,100,RUB,
102,23.06.2021,Income,Salary,Cash,200,RUB,200,RUB,
103,29.06.2021,Income,Salary,Cash,100,RUB,100,RUB,
104,02.07.2021,Income,Salary,Cash,130,RUB,130,RUB,
105,02.07.2021,Income,Salary,Cash,150,RUB,150,RUB,
106,02.07.2021,Income,Salary,Cash,100,RUB,100,RUB,
107,13.07.2021,Income,Salary,Cash,100,RUB,100,RUB,
108,27.07.2021,Income,Salary,Cash,5,RUB,5,RUB,
109,08.08.2021,Income,Salary,Cash,35,RUB,35,RUB,
110,11.08.2021,Income,Salary,Cash,300,RUB,300,RUB,
111,22.08.2021,Income,Salary,Cash,100,RUB,100,RUB,
112,30.08.2021,Income,Salary,Cash,300,RUB,300,RUB,
113,31.08.2021,Expenses,Cash,Шкила,20,RUB,20,RUB,Ксерокопия паспорта и СНИЛСа
114,01.09.2021,Income,Salary,Cash,100,RUB,100,RUB,Питание
115,02.09.2021,Expenses,Cash,Столовая,25,RUB,25,RUB,
116,03.09.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
117,03.09.2021,Income,Salary,Cash,100,RUB,100,RUB,Питание
118,04.09.2021,Expenses,Cash,Игры,51,RUB,51,RUB,
119,06.09.2021,Expenses,Cash,Столовая,40,RUB,40,RUB,
120,08.09.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
121,08.09.2021,Transfer,Cash,Сбер ₽,799,RUB,799,RUB,
122,09.09.2021,Expenses,Cash,Столовая,20,RUB,20,RUB,
123,09.09.2021,Income,Salary,Cash,150,RUB,150,RUB,Питание
124,10.09.2021,Expenses,Cash,Столовая,45,RUB,45,RUB,
125,11.09.2021,Expenses,Сбер ₽,Игры,401,RUB,401,RUB,
