id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
360,06.04.2022,Transfer,На столовую ,Сбер ₽,40,RUB,40,RUB,
361,06.04.2022,Transfer,Times New Roman,Сбер ₽,10,RUB,10,RUB,
362,07.04.2022,Transfer,На столовую ,Times New Roman,50,RUB,50,RUB,
363,07.04.2022,Expenses,На столовую ,Столовая,30,RUB,30,RUB,
364,10.04.2022,Transfer,На столовую ,Cash,30,RUB,30,RUB,
365,10.04.2022,Transfer,Cash,Копилка,30,RUB,30,RUB,
366,10.04.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
367,12.04.2022,Expenses,На столовую ,Столовая,30,RUB,30,RUB,Пирожок с картошкой
368,12.04.2022,Expenses,На столовую ,Столовая,20,RUB,20,RUB,Кофейный напиток
369,13.04.2022,Expenses,На столовую ,Столовая,50,RUB,50,RUB,Пицца. Оптовая
370,14.04.2022,Expenses,На столовую ,Столовая,45,RUB,45,RUB,С джемом + сок
371,14.04.2022,Transfer,На столовую ,Cash,55,RUB,55,RUB,
372,14.04.2022,Transfer,Cash,Копилка,55,RUB,55,RUB,
373,18.04.2022,Expenses,На столовую ,Столовая,30,RUB,30,RUB,
374,18.04.2022,Income,Мама,На столовую ,150,RUB,150,RUB,
375,18.04.2022,Transfer,На столовую ,Cash,20,RUB,20,RUB,
376,18.04.2022,Transfer,Cash,Копилка,20,RUB,20,RUB,
377,21.04.2022,Expenses,На столовую ,Столовая,40,RUB,40,RUB,Сосиска в тесте
378,21.04.2022,Transfer,На столовую ,Cash,10,RUB,10,RUB,
379,21.04.2022,Transfer,Cash,Копилка,10,RUB,10,RUB,
380,23.01.2023,Income,Родственники,Cash,25,RUB,25,RUB,
381,23.01.2023,Transfer,Cash,Копилка,25,RUB,25,RUB,
382,24.01.2023,Income,Мама,На столовую ,200,RUB,200,RUB,
383,24.01.2023,Expenses,Cash,not stonks,30,RUB,30,RUB,Передайте за проезд
384,25.01.2023,Expenses,На столовую ,Столовая,40,RUB,40,RUB,Курник
385,26.01.2023,Expenses,На столовую ,Столовая,40,RUB,40,RUB,Курник
386,27.01.2023,Transfer,Cash,Копилка,20,RUB,20,RUB,
387,28.01.2023,Transfer,Сбер ₽,На столовую ,100,RUB,100,RUB,
388,28.01.2023,Expenses,На столовую ,Столовая,40,RUB,40,RUB,Курник
