id,currency,sum
Categories_0,RUB,100
Categories_1,RUB,100
Categories_2,RUB,581
Categories_3,RUB,384
Categories_4,RUB,300
Categories_5,RUB,1116
Categories_6,RUB,113
Categories_7,RUB,4328
Categories_8,RUB,546
Categories_9,RUB,None
Categories_10,RUB,None
Categories_11,RUB,None
Categories_12,RUB,None
Categories_13,RUB,None
Categories_14,RUB,None
Categories_15,RUB,None
